ID,COORDS_X,COORDS_Y,AGE,BATHROOMS,HOUSESIZE,LOTSIZE,NEWHOME,POSTFIRM,DFLOOD100,DFLOOD500,FIRSTROW,PROXAMEN,DISTAMEN,DISTCBD,DISTHWY,DISTPARK,PRICE
6242,2709060.16815635,358480.604070209,14,3,3142,0.235,1,1,0,0,0,8094.081,352.54,22383.852,5084.518,8565.786,992500
6244,2708837.19956607,358476.179787417,1,3,3264,0.508,1,1,0,0,0,8075.378,371.243,22162.069,4988.263,8447.764,1246400
6245,2709113.75790838,358481.293501633,42,1.5,2678,0.401,1,0,0,0,0,8099.589,347.032,22437.581,5109.917,8588.764,530700
6246,2708913.22916566,358475.735572597,64,1.5,2056,0.514,1,0,0,0,0,8084.345,362.276,22239.14,5022.937,8487.391,293700
6248,2707258.46432895,358497.224930515,64,2.5,2141,0.861,1,0,0,0,1,8262.859,183.762,20591.007,4520.707,7752.791,504600
6250,2710509.49592919,358507.439961228,4,3.5,2077,0.106,1,1,0,0,0,7725.611,721.01,23825.261,5877.686,9295.821,371900
6251,2708068.32486089,358471.97786926,49,2,1907,0.288,1,0,0,0,0,8132.328,314.293,21397.587,4718.169,8065.536,263400
6255,2714445.14310619,358438.052306538,44,1,1940,0.689,1,0,0,0,0,7575.865,870.756,27756.568,8971.031,10226.312,231200
6256,2715359.0890911,358486.250802373,57,1,624,0.138,1,0,1,0,0,8312.733,133.888,28660.008,9754.356,10449.903,71000
6257,2715782.5226265,358417.414621336,42,1.5,1665,0.318,1,0,1,0,1,8337.379,109.242,29082.736,10037.914,10498.331,289700
6258,2714712.41794682,358403.012499076,49,1,1606,0.714,1,0,0,0,0,7743.075,703.546,28024.507,9219.639,10242.069,170700
6259,2708248.1837174,358443.813661048,55,4,2582,0.315,0,0,0,0,0,8123.316,323.305,21579.31,4791.109,8132.534,575200
6262,2709780.37939154,358427.843293802,56,1,2034,0.364,1,0,0,0,0,8011.142,435.479,23106.132,5500.731,8849.621,267100
6263,2707342.66717587,358499.045611761,3,2.5,3023,0.572,1,1,1,0,1,8234.531,212.09,20675.54,4530.818,7787.281,1283800
6264,2710708.59481251,358443.144138106,10,2.5,1902,0.343,0,1,1,0,0,7760.676,685.945,24019.06,6052.554,9341.762,284500
6268,2707417.66650011,358490.545514626,57,2.5,3035,0.598,1,0,1,0,1,8221.597,225.024,20749.984,4552.913,7806.581,1043000
6269,2708163.26870231,358436.481624446,69,2,1993,0.228,1,0,1,0,0,8148.859,297.762,21495.112,4776.17,8081.169,271400
6270,2708352.15742608,358439.15038591,16,3,2848,0.231,1,1,1,0,0,8119.498,327.123,21683.865,4836.906,8171.403,692900
6271,2709893.88706708,358394.954062392,46,1,1442,0.303,1,0,0,0,0,8008.612,438.009,23222.182,5591.385,8878.431,151400
6272,2715490.07110896,358411.116419259,18,3,2418,0.393,1,1,1,0,0,8384.933,61.688,28793.26,9891.697,10409.47,548500
6273,2707497.96443218,358458.296751223,57,2,2311,0.599,1,0,1,0,1,8240.652,205.969,20831.118,4600.725,7806.194,517300
6274,2707566.68045548,358444.085192426,51,1,992,0.568,1,0,0,0,1,8237.81,208.811,20902.954,4623.885,7826.451,145100
