ID,COORDS_X,COORDS_Y,AGE,BEDROOMS,HOUSESIZE,LOTSIZE,NEWHOME,DFLOOD100,DFLOOD500,PROXAMEN,DISTAMEN,DISTCBD,DISTHWY,DISTPARK,RESID,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,PRICE
2522,2705571.92814102,374102.17564238,17,3,1816,0.33,1,0,0,6113.112,2333.509,23083.819,763.192,21881.784,-0.346809467732133,0.941391941391941,0.27972972972973,0.463189417031844,0.1,0.70224495245088,107600
2523,2705452.77409155,374100.083223257,5,3,1512,0.358,1,0,0,6137.86,2308.761,22983.61,651.268,21818.211,-0.335340646952873,0.985347985347985,0.228378378378378,0.472193094469953,0.1,0.703868793523257,85200
2524,2705327.96429844,374096.365852892,18,2,864,0.358,1,0,0,6163.162,2283.459,22881.957,537.556,21754.006,-0.316748485669283,0.937728937728938,0.118918918918919,0.472193094469953,0.0666666666666667,0.70650121020302,54100
2525,2705191.79254966,374097.915859881,10,3,1144,0.436,1,0,0,6193.125,2253.496,22758.92,399.383,21677.237,-0.287399612872184,0.967032967032967,0.166216216216216,0.493984608911862,0.1,0.710656642221111,70300
2526,2705040.57071576,374084.506858026,17,3,1152,0.461,1,0,0,6221.169,2225.452,22653.829,281.815,21610.672,-0.269158662507904,0.941391941391941,0.167567567567568,0.500148719781396,0.1,0.713239331842896,75100
2527,2704602.45683089,374033.362391894,29,2,1140,0.74,1,0,1,6367.757,2078.864,22259.286,152.066,21345.973,-0.248717835164709,0.897435897435897,0.165540540540541,0.552469351865887,0.0666666666666667,0.716133496433318,92600
2528,2704877.41978489,374080.333289739,17,3,1152,0.435,1,0,1,6261.151,2185.47,22500.512,109.521,21514.911,-0.262221689052203,0.941391941391941,0.167567567567568,0.493730749994184,0.1,0.714221520215367,83600
2529,2711157.82094476,373979.126336824,69,3,2409,0.468,1,0,0,5739.573,2707.048,27800.842,116.197,23665.753,-0.434321249697963,0.750915750915751,0.379898648648649,0.501814819279997,0.1,0.689854382521498,176700
2532,2706770.71542237,373990.508347119,42,2,660,0.431,1,0,0,5783.349,2663.272,24006.19,1811.742,22333.442,-0.488860660109884,0.84981684981685,0.0844594594594595,0.492709444716576,0.0666666666666667,0.682132286554123,40100
2534,2707093.21344054,373983.807078393,14,3,1514,0.484,1,0,0,5595.281,2851.34,24271.814,2106.122,22460.438,-0.593579076959813,0.952380952380952,0.228716216216216,0.505531320833783,0.1,0.667305473092824,70200
2536,2706552.37664333,373993.431006977,17,2,1080,0.368,0,0,0,5905.493,2541.128,23816.682,1603.965,22239.953,-0.254026170459536,0.941391941391941,0.155405405405405,0.475238893440159,0.0666666666666667,0.715381902782707,64000
2537,2706424.65080036,373980.670043336,39,3,1300,0.488,0,0,0,5984.53,2462.091,23698.915,1478.283,22170.979,-0.950602663964043,0.860805860805861,0.192567567567568,0.506441247863971,0.1,0.616755414325398,42000
2538,2706192.99244647,373924.888536268,46,3,960,0.978,0,0,0,6131.548,2315.073,23480.676,1249.16,22031.763,-0.522215731891581,0.835164835164835,0.135135135135135,0.583298804339959,0.1,0.677409627043292,59000
2539,2706311.33986491,373956.268188596,44,3,1040,0.548,1,0,0,6053.264,2393.357,23595.955,1369.419,22107.596,-0.518259235601585,0.842490842490843,0.148648648648649,0.519261251666345,0.1,0.677969817258315,61900
2540,2706048.43317434,373892.339756862,27,3,1516,1.236,1,0,0,6216.865,2229.756,23340.668,1101.584,21932.915,-0.458833269391327,0.904761904761905,0.229054054054054,0.609182720151487,0.1,0.68638378819353,90000
2541,2706863.31108424,374036.6599058,28,3,864,0.97,1,0,0,5692.389,2754.232,24109.214,1915.431,22413.734,-0.487146384869806,0.901098901098901,0.118918918918919,0.582390745764129,0.1,0.682375006411532,49800
2543,2705765.44275342,374011.715395911,44,3,1376,0.259,1,0,0,6176.801,2269.82,23184.503,900.433,21893.811,-0.391285790880025,0.842490842490843,0.205405405405405,0.436405731406679,0.1,0.695947663334074,89800
2545,2704626.32664518,373917.199123653,49,3,1852,0.688,0,0,1,6472.993,1973.628,22209.237,177.215,21255.167,-0.429166563551132,0.824175824175824,0.285810810810811,0.544414128343903,0.1,0.690584221381268,138000
2546,2705003.33039999,373965.352587055,49,3,1444,1.587,0,0,0,6366.899,2079.722,22571.839,227.928,21484.026,-0.356339289799681,0.824175824175824,0.216891891891892,0.636817737348525,0.1,0.700895649258898,91000
2548,2705165.92826942,373877.412460464,22,3,1016,0.615,1,0,1,6409.319,2037.302,22620.974,299.1,21481.86,-0.29713632382387,0.923076923076923,0.144594594594595,0.532013495970464,0.1,0.709278046159884,74400
2549,2702389.03351944,373827.417956136,43,4,2529,0.663,1,0,0,8168.732,277.889,20403.436,2251.402,20202.549,-0.771042434095355,0.846153846153846,0.400168918918919,0.54032204352644,0.133333333333333,0.642178889139254,115200
2550,2705584.6433208,373873.876877324,44,3,1104,0.466,1,0,0,6334.597,2112.024,22962.152,681.623,21692.065,-0.344405260505891,0.842490842490843,0.159459459459459,0.501341347421115,0.1,0.702585358017906,77600
2551,2704661.02051717,373825.715637521,35,3,1540,0.68,1,0,1,6551.082,1895.539,22185.185,179.914,21192.567,-0.334152175986257,0.875457875457875,0.233108108108108,0.543121066702057,0.1,0.704037066095134,116900
2552,2704997.62756034,373838.402252227,46,3,1988,0.443,1,0,1,6477.521,1969.1,22462.205,130.007,21365.468,-0.284047954547963,0.835164835164835,0.308783783783784,0.49574548474994,0.1,0.711131194971755,165200
2553,2704465.86708043,373776.081853395,44,2,1296,0.459,0,0,1,6653.057,1793.564,21995.814,381.594,21054.147,-0.453984925431833,0.842490842490843,0.191891891891892,0.499668042893436,0.0666666666666667,0.687070252844601,79000
2554,2705970.97366872,373771.140131196,44,2,1152,0.482,1,0,0,6340.658,2105.963,23222.177,993.587,21805.318,-0.436084222951177,0.842490842490843,0.167567567567568,0.505073533388486,0.0666666666666667,0.689604767636658,74700
2555,2711197.13349817,373816.238568678,44,3,1814,0.468,1,0,0,5905.176,2541.445,27716.859,116.106,23494.399,-0.384951463962711,0.842490842490843,0.279391891891892,0.501814819279997,0.1,0.696844524520779,122000
2557,2705626.81799563,373777.77540978,4,2,1296,0.459,1,0,0,6422.187,2024.434,22941.18,680.654,21630.515,-0.339923967037781,0.989010989010989,0.191891891891892,0.499668042893436,0.0666666666666667,0.703219852926401,73900
2559,2706537.89098711,373786.885566787,15,3,1296,0.456,1,0,0,6085.781,2360.84,23696.687,1515.607,22048.061,-0.498574779623559,0.948717948717949,0.191891891891892,0.498943086131307,0.1,0.680756889156963,66300
2560,2706656.55864548,373762.958054668,14,3,1430,0.412,0,0,0,6037.866,2408.755,23777.588,1607.894,22079.739,-0.497407297715238,0.952380952380952,0.214527027027027,0.487725078206013,0.1,0.680922189941628,72500
2561,2706783.09538837,373770.266898004,12,3,1374,0.459,0,0,0,5954.346,2492.275,23896.373,1739.077,22138.253,-0.58507508972393,0.95970695970696,0.205067567567568,0.499668042893436,0.1,0.668509530948324,63400
2562,2711446.14461112,373767.226851632,27,2,1010,0.573,1,0,0,6044.762,2401.859,27914.363,132.258,23527.504,-0.192718117277099,0.904761904761905,0.143581081081081,0.524193180483753,0.0666666666666667,0.724062353610321,76700
2563,2706916.28243879,373769.923427503,11,3,1728,0.462,0,0,0,5872.216,2574.405,24007.544,1861.889,22192.761,-0.46334154431762,0.963369963369963,0.264864864864865,0.500388276776693,0.1,0.685745473049211,77500
2564,2704378.82896441,373728.399235594,36,3,1244,0.459,1,0,1,6720.076,1726.545,21897.883,480.083,20971.277,-0.410757246068055,0.871794871794872,0.183108108108108,0.499668042893436,0.1,0.693190749673827,86600
2565,2705856.38498119,373774.009436058,44,2,760,0.234,1,0,0,6374.604,2072.017,23127.691,888.745,21745.833,-0.402921599353687,0.842490842490843,0.101351351351351,0.425183579177969,0.0666666666666667,0.694300178900103,49500
2566,2707060.52822244,373770.571575736,15,3,1508,0.475,1,0,0,5778.42,2668.201,24128.248,1994.838,22252.919,-0.632170931829142,0.948717948717949,0.227702702702703,0.503456182557665,0.1,0.661841350825839,67600
2567,2707231.13493008,373772.959386642,7,3,1904,0.613,1,0,0,5659.524,2787.097,24273.767,2154.412,22327.308,-0.670798638317345,0.978021978021978,0.294594594594595,0.531653379984068,0.1,0.65637215241961,79300
2568,2705033.70004612,373758.817390162,44,2,1120,0.328,1,0,1,6548.39,1898.231,22445.485,130.915,21314.752,-0.282357694950796,0.842490842490843,0.162162162162162,0.462517344992116,0.0666666666666667,0.711370514515559,92300
2569,2705374.14501249,373709.451361003,44,3,1040,0.468,1,0,0,6534.822,1911.799,22695.202,422.324,21443.037,-0.331446451045164,0.842490842490843,0.148648648648649,0.501814819279997,0.1,0.704420162786107,74100
2571,2704776.29185159,373705.113064497,23,3,1248,0.482,1,0,1,6647.986,1798.635,22204.815,126.535,21141.456,-0.321595097213759,0.919413919413919,0.183783783783784,0.505073533388486,0.1,0.705814990840171,88600
2572,2704285.75342899,373680.983064537,33,3,1450,0.486,0,0,0,6785.629,1660.992,21792.558,586.96,20884.157,-0.464381059051178,0.882783882783883,0.217905405405405,0.505987220490439,0.1,0.685598290810323,85000
2573,2706375.68912344,373680.412116156,44,3,1384,0.431,1,0,0,6254.742,2191.879,23506.925,1328.263,21892.13,-0.485631460125253,0.842490842490843,0.206756756756757,0.492709444716576,0.1,0.682589500740907,84000
2575,2705730.8570104,373658.52761481,30,5,2374,0.475,1,0,0,6518.627,1927.994,22958.528,726.766,21581.57,-0.370576851960821,0.893772893772894,0.373986486486486,0.503456182557665,0.166666666666667,0.698879789158479,146600
2577,2705070.43481904,373676.343616265,47,2,1372,0.445,1,0,1,6622.787,1823.834,22427.629,131.099,21261.451,-0.280475570131516,0.831501831501831,0.20472972972973,0.496243483385116,0.0666666666666667,0.711636999766633,116600
2578,2711202.08278273,373704.096763773,26,3,1025,0.394,1,0,0,6004.823,2441.798,27669.916,116.89,23392.833,-0.125413605192726,0.908424908424908,0.146114864864865,0.482786293809932,0.1,0.733591827754386,80600
2579,2705247.53472611,373645.004286889,37,3,1520,0.459,1,0,1,6621.27,1825.351,22554.285,280.183,21323.204,-0.301959112455654,0.868131868131868,0.22972972972973,0.499668042893436,0.1,0.708595199822461,118400
2580,2705899.32917885,373683.219223846,5,3,2079,0.238,1,0,0,6447.236,1999.385,23112.951,891.864,21692.412,-0.416819936472986,0.985347985347985,0.324155405405405,0.427057446242849,0.1,0.692332348807852,105900
2581,2706286.14748598,373635.780574252,39,3,1107,0.424,1,0,0,6338.186,2108.435,23406.946,1227.835,21815.06,-0.472147531597063,0.860805860805861,0.159966216216216,0.490899138606077,0.1,0.684498655778071,66300
2582,2704194.13704128,373629.051371631,28,3,1272,0.459,0,0,0,6863.249,1583.372,21689.888,689.748,20796.611,-0.414700071588146,0.901098901098901,0.187837837837838,0.499668042893436,0.1,0.692632495068235,76100
2583,2711457.43948475,373644.443493061,63,3,1120,0.573,1,0,0,6160.016,2286.605,27864.099,124.46,23415.315,-0.178645227981955,0.772893772893773,0.162162162162162,0.524193180483753,0.1,0.726054898099794,104100
2584,2705593.96245564,373588.723950042,40,2,1278,0.973,1,0,0,6614.126,1832.495,22806.336,573.341,21451.393,-0.338309303544267,0.857142857142857,0.188851351351351,0.582732142360913,0.0666666666666667,0.703448469010766,92100
2585,2704817.64464043,373611.388545339,21,3,908,0.459,0,0,1,6732.992,1713.629,22183.511,126.856,21079.59,-0.163482581278949,0.926739926739927,0.126351351351351,0.499668042893436,0.1,0.728201738560219,70000
2586,2704620.12948625,373562.922952138,44,3,1272,0.918,1,0,0,6816.518,1630.103,21994.674,327.235,20941.007,-0.381382911059848,0.842490842490843,0.187837837837838,0.576299282995464,0.1,0.697349786821424,88600
2588,2704106.50621112,373580.684957224,30,3,1298,0.456,1,1,0,6959.04,1487.581,21591.272,788.86,20713.403,-0.42672626679119,0.893772893772894,0.19222972972973,0.498943086131307,0.1,0.69092973677329,86000
2589,2711803.21857618,373104.696049336,99,4,1694,19.86,1,0,0,6775.143,1671.478,27927.491,299.479,23025.785,-0.134851989078653,0.641025641025641,0.259121621621622,0.916176278639597,0.133333333333333,0.732255471061242,230900
2590,2705124.89170263,373551.049869309,47,3,864,0.904,1,0,1,6737.558,1709.063,22399.156,129.486,21178.941,-0.298775503005398,0.831501831501831,0.118918918918919,0.574600262574765,0.1,0.709045958961803,73800
2592,2706114.19202886,373555.202546923,49,1,840,0.344,1,0,0,6489.601,1957.02,23217.266,1036.365,21671.966,-0.440508658177675,0.824175824175824,0.114864864864865,0.467782888241875,0.0333333333333333,0.688978323141523,55600
2593,2704018.55045392,373532.854858073,32,3,1241,0.456,0,0,0,7055.157,1391.464,21492.216,888.6,20630.309,-0.178432411053523,0.886446886446886,0.182601351351351,0.498943086131307,0.1,0.726085030305706,86000
2594,2705457.16089728,373522.189636059,16,3,1610,0.47,1,0,0,6702.983,1743.638,22657.274,422.552,21325.32,-0.339866765509979,0.945054945054945,0.244932432432432,0.502286272062986,0.1,0.703227951944778,97100
2595,2706034.43986597,373516.197317501,27,4,1244,0.459,1,0,0,6557.173,1889.448,23130.534,949.081,21605.993,-0.42466413242507,0.904761904761905,0.183108108108108,0.499668042893436,0.133333333333333,0.691221709116822,72500
2596,2704859.64714301,373519.921067618,21,3,1340,0.472,1,0,1,6814.319,1632.302,22164.918,125.552,21021.341,-0.304942259569381,0.926739926739927,0.199324324324324,0.5027557229173,0.1,0.708172823633884,95500
2597,2704489.7954002,373489.99919592,94,2,1008,0.453,1,0,0,6921.05,1525.571,21847.556,474.632,20815.166,-0.446492200937527,0.659340659340659,0.143243243243243,0.498213344141394,0.0666666666666667,0.688131128588676,85100
2598,2703930.16673615,373485.132900124,30,3,1104,0.459,1,0,0,7151.63,1294.991,21392.742,988.86,20547.19,-0.487719912631814,0.893772893772894,0.159459459459459,0.499668042893436,0.1,0.682293802079019,62100
2599,2705939.15369447,373473.357406526,8,3,1418,0.445,0,0,1,6633.86,1812.761,23025.792,842.755,21529.089,-0.406070762202987,0.974358974358974,0.2125,0.496243483385116,0.1,0.693854296967102,84700
2600,2705329.0183236,373464.821800275,44,3,1080,0.44,1,0,1,6782.836,1663.785,22519.091,282.088,21210.216,-0.328993105909401,0.842490842490843,0.155405405405405,0.494994255290427,0.1,0.70476752566437,85200
2601,2706177.25344071,373376.539673969,3,3,1906,2.15,1,0,0,6669.727,1776.894,23079.16,924.013,21490.461,-0.430333618537075,0.992673992673993,0.294932432432432,0.670384866715736,0.1,0.690418981043453,104200
2602,2704402.06018898,373443.876420957,19,3,1560,0.472,1,1,0,6990.215,1456.406,21747.969,575.092,20731.556,-0.479521766008128,0.934065934065934,0.236486486486486,0.5027557229173,0.1,0.683454556742565,92200
2603,2703842.20277217,373437.53069511,32,3,1800,0.459,1,0,1,7247.66,1198.961,21293.754,1088.612,20464.568,-0.535105370090614,0.886446886446886,0.277027027027027,0.499668042893436,0.1,0.675584616057549,107900
2604,2705842.20236104,373422.154709551,37,3,1490,0.496,1,0,1,6712.861,1733.76,22920.274,737.22,21440.778,-0.371561472697725,0.868131868131868,0.224662162162162,0.508238938042993,0.1,0.69874037922052,108700
2605,2705179.26049837,373429.7156355,36,3,1104,0.39,0,0,1,6844.985,1601.636,22375.929,131.117,21103.539,-0.331928294899499,0.871794871794872,0.159459459459459,0.481658166571453,0.1,0.704351939744157,82600
2606,2704677.71152972,373317.901302626,6,3,1966,2.18,1,0,0,7046.047,1400.574,21930.726,337.275,20770.361,-0.429868140775341,0.981684981684982,0.305067567567568,0.67191683825082,0.1,0.690484886852109,109400
2607,2704313.01409014,373398.204818559,32,3,1025,0.487,1,1,0,7057.846,1388.775,21646.956,677.252,20647.422,-0.513557825590137,0.886446886446886,0.146114864864865,0.506214467250969,0.1,0.678635477906573,63200
2609,2704538.0134167,373209.124405057,18,3,1612,3.16,1,0,0,7212.754,1233.867,21592.69,694.187,20521.321,-0.531973241961648,0.937728937728938,0.24527027027027,0.712960256370186,0.1,0.676028086087961,88100
2610,2705714.68782264,373357.847297357,36,3,1344,0.78,0,0,1,6812.048,1634.573,22778.327,594.558,21318.802,-0.382159037666043,0.871794871794872,0.2,0.558289406673481,0.1,0.697239897035477,98400
2612,2703667.60143494,373343.32928479,32,3,1189,0.456,1,0,1,7438.322,1008.299,21097.205,1286.777,20301.089,-0.619831243889975,0.886446886446886,0.173817567567568,0.498943086131307,0.1,0.66358849575744,65700
2613,2711030.38794394,373111.834602486,99,4,1694,19.86,1,0,0,6442.758,2003.863,27254.232,416.34,22784.941,-0.0947603267217735,0.641025641025641,0.259121621621622,0.916176278639597,0.133333333333333,0.737931947243753,240400
2614,2711171.80761028,373304.219666812,12,3,2378,2.36,1,0,0,6366.87,2079.751,27442.195,242.975,22976.516,-0.120153113580572,0.95970695970696,0.374662162162162,0.680687952256258,0.1,0.734336647340036,186900
