ID,COORDS_X,COORDS_Y,AGE,HOUSESIZE,LOTSIZE,BEDROOMS,DFLOOD100,RESID,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,PRICE_KRIGING
17904,2493204.521113448,673943.9736945927,36.0,1700.0,0.23,3.0,0.0,0.06876976957361336,0.7372262773722628,0.1421231004700995,0.35692825966515407,0.25,0.571653124060464,96952.15746993266
17906,2481910.302058495,676422.6299035066,47.0,782.0,0.12,2.0,0.0,-0.19665251096033565,0.656934306569343,0.04176232644582924,0.2618504167625194,0.125,0.3094488676475145,24912.82335634801
17909,2491062.6769146486,675185.738537412,41.0,1204.0,0.26,3.0,1.0,0.10949920402488011,0.7007299270072993,0.08789767136766152,0.3748455469390765,0.25,0.6118887480364564,60811.033477323625
17910,2478614.034587682,680329.0991411223,59.0,934.0,0.12,2.0,0.0,-0.16362724038450338,0.5693430656934306,0.05837979665464087,0.2618504167625194,0.125,0.3420737343194176,27417.329529818395
17911,2470478.0047749435,667553.3966824177,42.0,1044.0,0.49,2.0,0.0,-0.021807347570128144,0.6934306569343065,0.07040559746364929,0.4674588879268296,0.125,0.482174179033972,46307.62348621988
17916,2481259.321543377,672438.9027158418,47.0,2183.0,0.57,3.0,0.0,0.051625478420939785,0.656934306569343,0.19492729856783644,0.4895600087132431,0.25,0.5547166931611035,115530.4350279359
17923,2479109.526606727,677110.3206090834,24.0,1075.0,0.2,3.0,0.0,-0.06857938165546962,0.8248175182481752,0.07379468678255166,0.3365032397408885,0.25,0.43596921691249146,57153.8489920418
17924,2479169.931532255,677315.9056663571,24.0,1325.0,0.33,3.0,0.0,-0.12660043400050114,0.8248175182481752,0.10112605225757079,0.40968729156049466,0.25,0.3786516215100967,69923.97844497072
17925,2478980.972248257,677057.1675633609,26.0,1550.0,0.22,3.0,0.0,-0.09184500344771251,0.8102189781021898,0.125724281185088,0.35043201239820587,0.25,0.4129856714100268,83399.97820225806
17926,2479170.0665388512,677114.1762518298,25.0,1075.0,0.21,3.0,0.0,-0.07047493623431755,0.8175182481751825,0.07379468678255166,0.3436335075257613,0.25,0.43409664435438844,56480.84036628855
17927,2479032.3012021566,676765.073100173,22.0,1183.0,0.19,3.0,0.0,-0.019281587681515333,0.8394160583941606,0.08560183666775992,0.32900716075083897,0.25,0.48466931618726256,68503.34344579662
17928,2479106.9879355184,676748.3324905186,22.0,1075.0,0.19,3.0,0.0,0.00032980945900717984,0.8394160583941606,0.07379468678255166,0.32900716075083897,0.25,0.5040429414688524,62571.83225328884
17929,2479418.5861078743,676976.8005844799,25.0,1075.0,0.2,3.0,0.0,-0.07187124343677809,0.8175182481751825,0.07379468678255166,0.3365032397408885,0.25,0.4327172662139826,56297.5000390614
17930,2479050.244505965,677106.1225570586,25.0,1075.0,0.2,3.0,0.0,-0.05131606810530975,0.8175182481751825,0.07379468678255166,0.3365032397408885,0.25,0.4530232271618846,57466.680208698715
17932,2479358.3993447674,676972.9828930686,25.0,1075.0,0.21,3.0,0.0,-0.07011358416543345,0.8175182481751825,0.07379468678255166,0.3436335075257613,0.25,0.43445361533035337,56501.25352275326
17933,2479059.6842735633,676953.7358987635,26.0,1075.0,0.21,3.0,0.0,-0.01604163280259918,0.8102189781021898,0.07379468678255166,0.3436335075257613,0.25,0.4878699893113451,58940.59252381595
17934,2479119.4913642104,676957.3098824766,26.0,1075.0,0.21,3.0,0.0,-0.017434064006870642,0.8102189781021898,0.07379468678255166,0.3436335075257613,0.25,0.486494440175878,58858.578915992
17935,2479180.1953612673,676961.691981581,26.0,1050.0,0.22,3.0,0.0,-0.037309129370811434,0.8102189781021898,0.07106155023504974,0.35043201239820587,0.25,0.466860343428509,56258.10256905636
17936,2478989.114376259,676933.8955632554,26.0,1075.0,0.24,3.0,0.0,-0.016341116892975904,0.8102189781021898,0.07379468678255166,0.36314798556263467,0.25,0.4875741362161688,59222.853124854475
17937,2479479.200908811,676978.3619433054,24.0,966.0,0.21,3.0,0.0,-0.10009950470693418,0.8248175182481752,0.061878211435443316,0.3436335075257613,0.25,0.4048312491046351,49059.645970628924
17938,2479239.350338813,676965.1334415931,25.0,1075.0,0.19,3.0,0.0,-0.0565879184569944,0.8175182481751825,0.07379468678255166,0.32900716075083897,0.25,0.4478152936055793,57053.147698042
17941,2479297.3773909067,676968.4563963435,25.0,1075.0,0.21,3.0,0.0,-0.05939314874868096,0.8175182481751825,0.07379468678255166,0.3436335075257613,0.25,0.44504407439512317,57110.22997613299
