ID1,BATHROOM_1,AGE_1,TOT_SQ_F_1,TOTAL_AC_1,NEWHOME_1,POSTFIRM_1,DFLOOD_A_1,DFLOOD_X_1,FIRSTROW_1,PROXAMEN_1,DISTAMEN_1,DISTCBD1_1,DISTHWY_1,DISTPARK_1,PRICE
5792.0,1.5,22.0,1272.0,0.183,1.0,1.0,0.0,0.0,0,7223.592999999999,1223.028,22639.086,4529.265,9464.195,127300.0
5793.0,1.0,94.0,1126.0,0.213,1.0,0.0,0.0,0.0,0,7613.048999999999,833.572,19275.874,3748.094,8109.572,120500.0
5794.0,1.0,103.0,1152.0,0.216,1.0,0.0,0.0,0.0,0,7608.101999999999,838.519,19338.933,3738.178,8124.311,133400.0
5795.0,2.0,23.0,1904.0,0.16,1.0,1.0,0.0,0.0,0,7227.320999999999,1219.3,22080.589,4227.826,9177.324,240900.0
5796.0,1.0,94.0,1344.0,0.197,1.0,0.0,0.0,0.0,0,7583.871999999999,862.749,18075.008,4110.614,7926.892,148400.0
5797.0,1.5,74.0,1510.0,0.206,1.0,0.0,0.0,0.0,0,7603.323999999999,843.297,19400.609,3729.549,8139.114,162000.0
5798.0,1.5,81.0,1610.0,0.25,1.0,0.0,0.0,0.0,0,7867.678999999999,578.942,16747.104,3438.809,7794.546,191900.0
5800.0,1.0,23.0,873.0,0.213,0.0,1.0,0.0,0.0,0,7262.293,1184.328,22488.62,4456.676,9369.224,87700.0
5801.0,1.0,75.0,1200.0,0.368,0.0,0.0,1.0,0.0,1,8278.33,168.291,28351.872,8952.902,11160.109,185900.0
5802.0,1.0,23.0,1050.0,0.211,1.0,1.0,0.0,0.0,0,7251.921999999999,1194.699,21701.021,4072.505,8977.994,98200.0
5803.0,1.5,130.0,1337.0,0.105,1.0,0.0,0.0,0.0,0,7774.259999999999,672.361,17006.136,3587.762,7821.179,233900.0
5804.0,1.0,44.0,1119.0,0.344,1.0,0.0,0.0,0.0,0,7626.312999999999,820.308,19136.671,3784.191,8068.152,103800.0
5805.0,1.5,84.0,2248.0,0.684,0.0,0.0,1.0,0.0,1,8210.534,236.087,15885.157,2985.671,7554.44,537500.0
5807.0,1.0,84.0,1648.0,0.243,0.0,0.0,0.0,0.0,0,7608.216999999999,838.404,19474.939,3731.119,8147.11,198300.0
5808.0,1.0,94.0,1810.0,0.142,1.0,0.0,0.0,0.0,0,7654.8009999999995,791.82,17751.629,4128.513,7837.43,234500.0
5809.0,1.0,94.0,1428.0,0.233,0.0,0.0,0.0,0.0,0,7601.642999999999,844.978,19571.547,3722.46,8171.146,171300.0
5810.0,1.0,103.0,1586.0,0.341,1.0,0.0,0.0,0.0,0,8034.563999999999,412.057,16419.269,3307.986,7723.814,219800.0
5811.0,1.0,54.0,864.0,0.201,1.0,0.0,0.0,0.0,0,7489.828999999999,956.792,20650.042,3775.282,8516.447,78600.0
5812.0,1.0,48.0,1368.0,0.143,0.0,0.0,0.0,0.0,0,7598.007,848.614,19750.866,3711.366,8220.19,138100.0
5813.0,1.0,59.0,1080.0,0.106,1.0,0.0,0.0,0.0,0,7740.525999999999,706.095,17156.459,3693.004,7817.779,100300.0
5814.0,1.5,64.0,1175.0,0.143,1.0,0.0,0.0,0.0,0,7607.445999999999,839.175,19851.205,3709.751,8248.421,113400.0
5815.0,1.5,23.0,1388.0,0.211,0.0,1.0,0.0,0.0,0,7266.623,1179.998,21778.328,4129.171,8988.632,150900.0
5816.0,1.0,56.0,1160.0,0.148,1.0,0.0,0.0,0.0,0,7612.114999999999,834.506,19900.937,3709.948,8262.84,106400.0
5817.0,1.0,56.0,1422.0,0.143,1.0,0.0,0.0,0.0,0,7616.277999999999,830.343,19951.751,3710.228,8278.448,137300.0
5818.0,1.0,54.0,1217.0,0.143,1.0,0.0,0.0,0.0,0,7624.333999999999,822.287,20050.265,3712.86,8309.41,112500.0
5819.0,1.0,62.0,1373.0,0.143,1.0,0.0,0.0,0.0,0,7626.605999999999,820.015,20101.492,3715.748,8325.44,131900.0
5820.0,1.0,54.0,870.0,0.143,0.0,0.0,0.0,0.0,0,7625.716999999999,820.904,20152.597,3719.365,8341.457,85100.0
5821.0,1.0,64.0,999.0,0.143,1.0,0.0,0.0,0.0,0,7621.889999999999,824.731,20201.075,3723.395,8356.697,91900.0
5822.0,1.0,59.0,1373.0,0.143,1.0,0.0,0.0,0.0,0,7615.062999999999,831.558,20250.804,3728.208,8372.304,131200.0
5823.0,1.0,84.0,1364.0,0.208,0.0,0.0,0.0,0.0,0,7650.694999999999,795.926,18025.396,4195.173,7853.202,151500.0
5824.0,1.5,64.0,2480.0,0.2,1.0,0.0,0.0,0.0,0,7602.945999999999,843.675,20310.649,3734.797,8391.156,397400.0
5825.0,1.0,54.0,896.0,0.218,1.0,0.0,0.0,0.0,0,7927.307999999999,519.313,16669.091,3421.151,7755.336,86500.0
5826.0,1.0,59.0,1052.0,0.18,1.0,0.0,0.0,0.0,0,7585.165999999999,861.455,20376.499,3743.241,8411.804,95700.0
5827.0,1.0,64.0,1710.0,0.16,1.0,0.0,0.0,0.0,0,7567.323999999999,879.297,20436.203,3751.55,8431.048,182100.0
5828.0,1.0,59.0,1234.0,0.323,1.0,0.0,1.0,0.0,1,8299.524,147.097,28375.927,9007.353,11115.356,176000.0
